,ResponseId,Informed consent,Age,Gender,Continent of residence,Understanding of sustainability,Concerned about wasting resources,Socially responsible person,Prefer sustainability to conveniency,Willingness to make the world a better place,Clothing shopping frequencies,Factors that influence my shopping decisions,Needs and desires,Understanding of ethical fashion,Own sustainable clothing,Well informed on sustainable clothing,Impact of sustainble clothing on the world,Ability to afford sustainable clothing,Intention to buy sustainable clothing within the next 12 months
2470,R_3Eg9Z7RA3HzEkWI,Yes,22-39,Female,Europe,making as little impact as possible on global environment - including social and ethical sustainability,TRUE,Mostly true,Mostly true,Important,Every 6 months,am I able to wear it with everything else in my wardrobe? will i be able to wear this a year from now?,good fit and good quality that fits to my budget. truly sustainable clothing,"long lasting (quality, fit, not fashion fad), ethically made, low-impact materials - or recycled/preloved",Yes,Neutral,TRUE,Agree,1
2471,R_RRcIshGPhRHocxj,Yes,52-70,Female,Europe,To produce and consume with respect for environment and people (werkers),Mostly true,Mostly true,Mostly true,Very important,Monthly,,,,Yes,Disagree,TRUE,Neutral,1
2472,R_22M5Kfarj1cGe73,Yes,Under 22,Female,North America,the ability to sustain.  To keep the environment and our surroundings constant for the future.,TRUE,Mostly true,TRUE,Very important,Monthly,was this made in a place where all the people got paid? if they did not. Am i currently feeding in to that business?,more ethical clothing without shopping online.,clothing that Is made from fabric that might have been re-purposed.  Or clothing that is made in a place that is building up the local economy not tearing it down.,Yes,Strongly disagree,TRUE,Strongly disagree,1
2473,R_2rSBa4S3TU9Pobf,Yes,22-39,Female,North America,The amount of resources used.,TRUE,TRUE,TRUE,Very important,Weekly,,"Sustainable, fair trade versions of Bebe and New York and Company, Northface, and medical scrubs",,Yes,Disagree,TRUE,Agree,1
2474,R_wOkx7Zhx8LZQNnH,Yes,Under 22,Female,North America,how well you can carry on ways of doing things without negative consequences,TRUE,Mostly true,Mostly true,Very important,Monthly,,,,Yes,Disagree,TRUE,Neutral,1
2475,R_3e8kosZ1AZjXls8,Yes,Under 22,Female,Europe,"To maintain for the future
",TRUE,TRUE,Mostly true,Very important,Monthly,Whether it is ethically sourced ,"A shop that offers only sustainable, yet affordable clothing without compromising the treatment of its workers ",Clothing that is fair,Yes,Strongly disagree,TRUE,Strongly agree,1
2477,R_2YgIm75vIvcUX9d,Yes,Under 22,Female,North America,,Mostly true,Mostly true,Mostly true,Very important,Weekly,,,,Maybe/Not sure,Disagree,TRUE,Neutral,1
2478,R_1o6DQ9S5RXODvVR,Yes,22-39,Female,Europe,,Mostly true,Mostly true,Neutral,Important,Every 3 months,If I spend within my budget,Sustainable clothing within my strongly limited budget.,"Clothing that will not hurt the world, its resources, my nor any further generation in any possible way ",Maybe/Not sure,Agree,Mostly true,Agree,1
2479,R_3hfHDnrqfjU8Ghe,Yes,22-39,Female,North America,"An action that can be maintain through repeated processes for a long period of time, because the process is well thought out.",TRUE,Mostly true,Mostly not true,Very important,Every 3 months,Based on price and style. But I'm trying to retrain myself.,Ethically made clothing made a price I can afford. Or have the discipline to plan for my wardrobe and making purchase for only clothing items that I need. ,Clothing made from fabrics that are from renewable materials with low environmental impact.,No,Agree,TRUE,Strongly agree,1
2480,R_1Kqm6XdCYgY7Lim,Yes,22-39,Female,Europe,,Mostly true,Mostly true,Mostly true,Important,Monthly,,Beret ,,Yes,Disagree,Mostly true,Disagree,1
2484,R_3DdqrMa9y4SAqx4,Yes,22-39,Female,Europe,Ensuring what we are doing on the planet is not killing it or harming it,Mostly true,Neutral,Mostly true,Important,Monthly,Cost,"Affordable (student budget friendly), 'on trend' clothes that are easily accessible to the general public e.g. High street or online. ","Clothing that, when made, does not have a detrimental to the enviroment or a society ",No,Strongly disagree,TRUE,Neutral,1
2486,R_2QMR5MxXqGd4l4b,Yes,Under 22,Female,North America,"A way of life/activity that minimizes impact on the environment. Can be achieved by reducing impact, as well as being dependent solely on itself.",Mostly true,Mostly true,Mostly true,Important,Monthly,,,,Yes,Disagree,TRUE,Neutral,1
2487,R_DTr0QpyaZs1XGE1,Yes,22-39,Female,Europe,"In the contexte of fashion I would define it as mean to express oneself through clothes that have a positive impact on the environment, people who created the clothes (from the fiber up to the sale process) and that won't harm the planet and its inhabitants.",Neutral,Mostly true,Mostly true,Important,Monthly,Do I feel good wearing them,"Clothes that makes me feel good because I look good in them and because I have information on where, how and by who it was made.",See previous answer,Yes,Neutral,TRUE,Disagree,1
2488,R_1hS76SATbw6IWnl,Yes,22-39,Female,North America,"supporting brands and living a life  that has a minimal carbon footprint. E.g. supporting companies taking positive environmental initiatives, composting waste",TRUE,Mostly true,Mostly true,Important,Every 6 months,the long term usability of the item purchased,a place to do research on the sustainability and ethics of the companies I buy from ,companies that have a low carbon footprint and ethical practices (e.g. fare wage),Yes,Disagree,Mostly true,Disagree,1
2489,R_2TZ8k5XkrXj8in8,Yes,22-39,Female,Europe,Avoiding the overuse of natural resources in production,TRUE,Mostly not true,Mostly true,Very important,Monthly,Fabric and cut,"Modern, clean lines in good quality fabrics",Clothing made without exploitation along the supply chain,Yes,Strongly disagree,Mostly true,Disagree,1
2490,R_3pngXX2JWLkgyFu,Yes,39-52,Female,Europe,"environmental Protection, minimalism",TRUE,TRUE,TRUE,Very important,I avoid it at all costs!,Utility,,,Yes,Strongly disagree,TRUE,Agree,1
2491,R_zT0ziAuNmFl7IDT,Yes,22-39,Female,Europe,"Long-lasting, non-impulsive and resourceful",TRUE,TRUE,TRUE,Very important,Monthly,material,More non-basic ethical pieces,"Thoughtful purchases, non-impulsive, hard to find",Yes,Disagree,Mostly true,Agree,1
2493,R_3fUW7jHTlZBQuqa,Yes,Under 22,Female,North America, not as bad for the environment,TRUE,Mostly true,TRUE,Very important,Every 6 months,that i really need it and try to find something more sustainable,more sustainable options,"clothes that have been ethically made,with fair trade and that it doesn't have a bad impact on the enviroment ",Maybe/Not sure,Agree,TRUE,Neutral,1
2494,R_Pz9KyQUci0Anh8l,Yes,Under 22,Female,North America,"Sustainability is the intersection of socially, environmentally and financially responsible decision making. It is equitable and accessible. ",TRUE,TRUE,TRUE,Very important,Every 3 months,The ethics of the company I am supporting ,A clothing line that fits my style similar to urban outfitters or free people but is committed to social and environmental responsibility. ,"clothing that is produced in a way that minimizes resource use, uses responsible production methods and is affordable. ",Yes,Strongly disagree,TRUE,Neutral,1
2496,R_2V9fXgjTJVcs30i,Yes,22-39,Female,Australia,"When materials and resources are not being exploited, labour is fair and the effort to minimise the impact on the environment",Mostly true,Neutral,Neutral,Important,I avoid it at all costs!,If I would wear it for more than 30 times and if I can mix and match with my existing wardrobe.,"More information on how it is produced, which factory, what impacts on the environment this piece of clothing has.",,Maybe/Not sure,Disagree,Mostly true,Agree,0
2497,R_pEKf9DunvadSVX3,Yes,22-39,Female,North America,"Reducing waste/avoiding depletion by creating better, higher quality items ",TRUE,TRUE,Mostly true,Very important,Every 6 months,How long it will last ,"Easily accessible, well-made affordable clothing ",Clothing that lasts and can be repurposed or recycled to produce new clothing ,Yes,Disagree,TRUE,Neutral,1
2498,R_C7GqsRVBBYNndTP,Yes,22-39,Female,North America,"Fair trade, ethical, does no harm, recycled",TRUE,TRUE,TRUE,Very important,I avoid it at all costs!,Cost,"Affordable, ethically produce clothing.","Chem-free, ethically produce and sourced",Yes,Agree,TRUE,Neutral,1
2499,R_2SuAi6rIBRTjjpu,Yes,Under 22,Female,Europe,"Good quality clothing that lasts, is made with sustainable and ethical materials, and has not been mass produced in a sweatshop.",TRUE,Mostly true,TRUE,Very important,Every 3 months,Where is is made,A 100% ethical store,"Clothing that is either good quality and cruelty-free (humans and animals), or secondhand",Yes,Agree,TRUE,Disagree,1
2500,R_3HUqaOu8BDtBEsS,Yes,Under 22,Male,North America,,TRUE,TRUE,TRUE,Very important,Monthly,Fair trade,,,Yes,Neutral,TRUE,Agree,1
2501,R_qV0F75Xr2NXkybL,Yes,22-39,Female,North America,"Carbon-neutral, environmentally friendly, not harmful to people or the planet",Mostly true,Mostly true,Mostly true,Very important,Monthly,"whether I need the item, how sustainable it is, and how much it costs","high-quality, sustainable products in every store","environmentally friendly, carbon neutral, socially responsible",Yes,Neutral,Mostly true,Neutral,1
2504,R_1mt5NShF0EvoLNy,Yes,22-39,Female,Australia,"Sustainability is the deliberate decision to source clothing, food and other lifestyle items in a manner that is humanely humane, environmentally friendly and socially responsible. ",Mostly true,Mostly true,TRUE,Very important,Monthly,"How well made is the garment, will it last multiple season/ not become outdated.",More clothing that is ethically made and tran-seasonal. ,"Clothing made with long wear in mind, the notion of buying less products due to the fact that your wardrobe is tran-seasonal/does not date quickly/ well made.",Yes,Agree,TRUE,Disagree,1
2505,R_bPDoefBk2HNgEZX,Yes,22-39,Female,North America,Not just thinking and caring about ourselves but 7 generations after us.,TRUE,Mostly true,Mostly true,Very important,Every 6 months,"Where I buy from (ie: thrift, consign, or one of my few pre-approved sustainable stores)","Clothes I like, that can actually be bought easily in Canada, and that do no harm.","Clothes that are not being made at the expense of others, as well as thought put into every level of the production, transport, and accessibility to consumers.",Maybe/Not sure,Disagree,TRUE,Disagree,1
2506,R_6XwOrCJLLntNbep,Yes,Under 22,Female,Europe,"A sustainable brand is fare to it's workers, pays them well and  acknowledges how and who is working for them.In my opinion sustainable brand should have a upused clothing line. And they shouldn't use there products on animals. ",TRUE,Neutral,Mostly true,Important,Monthly,do i really need it?,More organic cotton and linen products.,good for everyone ,Maybe/Not sure,Strongly disagree,Mostly true,Agree,1
2507,R_UfshdoOyPlkWY3n,Yes,52-70,Female,North America,The ability to self-maintain the integrity of an item for a period of time.,TRUE,Mostly true,Mostly true,Very important,Weekly,Price,A better variety of sustainable clothing at reasonable prices.,"Good quality; materially produced by ecologically ""friendly"" methods & constructed under fair wage/fair labor conditions.",Yes,Agree,TRUE,Neutral,1
2508,R_Odq67Jmi6G8fZFD,Yes,39-52,Female,North America,Practices that allow our resources to be renewed.,TRUE,Mostly true,Mostly true,Important,Every 3 months,Durability ,"Comfortable, flattering clothing made sustainably.",Clothing made and distributed in a sociably responsible manner.,Yes,Disagree,TRUE,Disagree,1
2509,R_1kLxIDzhyOHiC6B,Yes,22-39,Female,North America,Practices which ensure that resources and people are not being depleted but are thoughtfully being cared for or replaced whenever possible.,Mostly true,Neutral,Mostly true,Very important,Every 6 months,Is it fair trade,"Fair Trade Clothing in my local area (not from a thrift store) so I can try it on. Usually looking for Jeans, dresses , and shoes.","Clothing that does not harm humans in the creating process, particularly the humans making it.",Yes,Disagree,TRUE,Agree,1
2510,R_2pWatSvqM9x4Eh7,Yes,Under 22,Female,North America,designing a system in which a clear cycle is defined instead of a linear system. Also I would include environmental sustainability and social impacts as priorities in sustainability,TRUE,TRUE,Mostly true,Very important,Every 3 months,If the item is worth the cost,"sustainable clothing for teenagers!!!!!!!!!

clothing that is priced economically",clothing that is made by a company that works to improve their practices on the earth and gives back to all aspects of the community,Yes,Disagree,TRUE,Agree,0
2511,R_30q0dZeGRw56l4z,Yes,Under 22,Female,Europe,It is a way of living when the nature is harmed as little as possible through to people's everyday lives ,TRUE,Neutral,TRUE,Very important,Every 3 months,,more sustainable clothes with more affordable prices for students,"good-looking, well made, long-lasting",Yes,Disagree,Mostly true,Agree,1
2512,R_Qc8iOMZ0v4VWhJD,Yes,Under 22,Male,North America,Minimal negative impact on resources needed for production. ,TRUE,Mostly true,Mostly not true,Very important,Monthly,Comfort and my style ,Mainstream clothes made of advanced materials like hemp. ,Minimal impact on environment and labor forces. ,Yes,Disagree,Mostly true,Disagree,0
2514,R_3eqr3HW5crZPrAh,Yes,Under 22,Female,North America,,Mostly true,Neutral,Neutral,Very important,Weekly,"price, style, quality ",more information on the supply chain and production ,"sustainable clothing is long lasting, high quality, diminishes waste and produced in an ethical way. ",Yes,Disagree,TRUE,Neutral,1
2515,R_YVWzonSPOhkU8Ex,Yes,22-39,Female,North America,"Creating products using materials that lessen the environmental impact of the product, from the start of it's creation until when it's discarded.",TRUE,Mostly true,Mostly true,Neutral,Monthly,which brand I purchase the clothing from,Well made clothing that is affordable ,Clothing made with environmentally friendly materials,Maybe/Not sure,Disagree,TRUE,Neutral,1
2517,R_11Y2JUQ25GznQuq,Yes,Under 22,Female,North America,"Able to be reused significantly, good for the planet and the inhabitants of it. ",TRUE,TRUE,TRUE,Very important,Monthly,,,,Yes,Disagree,TRUE,Neutral,1
2518,R_11hI3c9qTG1NvrZ,Yes,Under 22,Female,Europe,doing the best you possibly can to mantain the quality of life we live today for future generations,TRUE,TRUE,TRUE,Very important,Monthly,,,,Yes,Disagree,Mostly true,Neutral,1
2519,R_1EOxN4LhlqwA8jT,Yes,22-39,Female,North America,"A focus on the renewablity of an action based on the understanding of limited supply. For me in terms of fashion/beauty, it means ethical production and a focus on non toxic environ",Mostly true,Mostly true,Mostly true,Very important,Monthly,,,,Yes,Disagree,TRUE,Neutral,1
2521,R_1lyLJkjLzOMd1uF,Yes,Under 22,Female,Europe,"ecological, not taking more than you use ",TRUE,Mostly true,Neutral,Very important,Weekly,How much the clothing costs ,Clothing that is stylish for a long time and is durable ,"Clothing that is made consciously, recycled materials etc",Maybe/Not sure,Neutral,TRUE,Strongly disagree,1
2522,R_1OHptbZHuRX0TAr,Yes,Under 22,Female,Europe,Minimizing the pollution caused to the environment and protecting it in all ways possible,TRUE,Mostly true,TRUE,Very important,Every 3 months,"It is made ethically and environmentally friendly way, it is going to be good quality and last a long time",Conciously produced clothes which are of good quality and make me feel good,"Fair trade labor, organic materials and minimal amount of waste produced while making it",Yes,Disagree,TRUE,Disagree,1
2524,R_3qVH7cOQjTvKZrP,Yes,Under 22,Other,North America,"Being able to benefit and create and be good to the planet, etc. From something or someone.",TRUE,Not true,Mostly true,Very important,Every 3 months,Comfortable,"COMFOrtable clothing, sustainable, ethical, no fast fashion, and affordable to a certain degree.","Recycled,not fast fashion, good for the environment",Maybe/Not sure,Disagree,TRUE,Strongly agree,0
2525,R_43pwj3sz7XiGD05,Yes,Under 22,Female,North America,"It defines the term of respecting both our present generation of Earthlings and future generations by being ethical and respecting the environment
",TRUE,TRUE,TRUE,Very important,Monthly,To buy something that is either sustainable or thrift and to buy something that will last!,More ethical underwear and socks,Clothing that is ethical and is environmentally conscious,Yes,Disagree,TRUE,Neutral,1
2528,R_2CBTPYBbuHwH8vD,Yes,39-52,Male,North America,"Best practices by  local companies and multinationals as it relates to the environment, people, the planet, and the sustainable ecological balance of the planet and its' resources which includes wages and any toxicity in the manufacturing and or dissemination of their product and service.",TRUE,TRUE,Not true,Neutral,Yearly,value: price / quality ratio_fabric content -styling_ wearability / durability_ the brands reputation for quality _customer service_,better quality and at a  more affordable price. better workmanship; inexpensive and stylishly affordable clothing that is 100% made in Canada.,clothes that that are made without exploitation dehumanization of people or the environment; Putting People & the planet before profits!!!,Yes,Strongly disagree,TRUE,Disagree,0
2529,R_3eblHt7HXfZYB18,Yes,22-39,Female,North America,"good stewardship; responsible use of a resource that allows its use to continue over time, and the resource to thrive rather than become depleted",Mostly true,Neutral,Mostly true,Very important,Monthly,quality,"luxe, thick fabrics -- hard to find in store",responsible made clothing that works for you and the Earth and the textile workers and the people whose resources you're using,Yes,Disagree,Mostly true,Disagree,1
2530,R_3gTxicu79qdhecx,Yes,22-39,Female,North America,"something is ""sustainable"" if its practices are doable in the long term and do not destroy lives and/or the environment",TRUE,TRUE,Mostly true,Important,Every 3 months,Price and reputation of the company,brands that are both affordable and ethically made.,clothing that does not harm the environment or the people who made it,Yes,Agree,TRUE,Neutral,1
2531,R_3R1QmeKqd2yJK5O,Yes,22-39,Female,North America,able to meet the needs of people and the environment,Mostly true,Neutral,Mostly true,Very important,Weekly,comfort,"vintage-inspired silhouettes, smaller sizes",clothing that is produced in a way that minimizes impact to the environment ,Maybe/Not sure,Neutral,Mostly true,Neutral,0
2532,R_25Wnaq4GraFHIEH,Yes,39-52,Female,North America,Ability to maintain resources for production and manufacturing without hurting our environment and leaving resources for the future. ,Mostly true,Mostly true,Mostly true,Important,Monthly,Cost,"Clothes that are sized for tall, slender people. ",Produced ethically,Maybe/Not sure,Neutral,Mostly true,Neutral,1
2533,R_6uvpIytBvaLUrId,Yes,22-39,Female,North America,A process that can continue as it is indefinitely,TRUE,Mostly true,TRUE,Very important,Monthly,Is it a necessary purchase ,"Quality, ethically, sustainably made clothing in- person and not online. I'm concerned with fit and fashion as well as my impact.",Clothing made by folks conscious of their impact on Earth,Yes,Strongly agree,Mostly true,Disagree,1
2534,R_1IfU9HH5GFUv2Iz,Yes,22-39,Female,Europe,"Production, products and interacting that doesn't harm and has high quality.
",TRUE,TRUE,TRUE,Very important,Every 6 months,"Sustainability, quality und fair trade.",What I need.,"High quality, timeless design, good fit, fair trade, no harm to nature or people.",Yes,Strongly agree,TRUE,Strongly disagree,1
2535,R_QoICsz8HJ4hF2pP,Yes,39-52,Female,North America,"Recycled, organic fair and responsible business ethics",TRUE,TRUE,TRUE,Very important,Weekly,Does it fit and is it comfortable ,More things in my size(plus).,"Fair labor practices,",Yes,Neutral,Mostly true,Disagree,1
2537,R_2SBQpdDD3DXFIEr,Yes,22-39,Female,North America,"Production methods that take into consideration both human and environmental impacts, with an emphasis on social justice ",TRUE,TRUE,Mostly true,Very important,Every 3 months,Will it last and will I wear it frequently ,More sustainable options in local brick and mortar stores rather than online ,Clothing that is produced ethically and environmentally responsibly,Yes,Agree,Neutral,Disagree,1
2538,R_25sZPxx07yRcNCl,Yes,39-52,Female,North America,Free trade. Ethical ,TRUE,Mostly true,TRUE,Important,Everyday!,Where is was made and how it was sourced ,"Affordable sustainable pieces. $30 for a basic tee is not affordable hence the reason fast fashion is still alive and well
",Free trade responsibly sourced ethical treatment of employees and safe work environments ,Yes,Neutral,Neutral,Neutral,1
2539,R_2YcbXWtDP82dAQ2,Yes,22-39,Female,North America,Creating a product for consumption that takes into account the affects of production on the earth and the people involved in production. ,TRUE,Mostly true,Mostly true,Very important,I avoid it at all costs!,"Do I actually need this, not just want it.",Fair trade options local to me. Shopping online is such a gamble and rarely turns out well for me. ,,Yes,Disagree,Mostly true,Neutral,1
2540,R_4OcD29LC337fTmd,Yes,22-39,Female,North America,creations that use as few natural resources as possible and can be reused in some way when they are done,TRUE,Mostly true,TRUE,Important,Every 3 months,Finding something missing in my wardrobe that comes from an ethically and environmentally responsible place and/or buying second hand,labels such as Fair Trade so I know what kind of company I'm supporting,Clothing that has used as few as possible resources to create and/or can be reused in some way when I'm done with it,Yes,Neutral,Mostly true,Disagree,1
2541,R_yU9tV3ZZNX1Va6d,Yes,Under 22,Female,Europe,"Something that can continues into the future without causing harm to the environment
",TRUE,Mostly true,Mostly true,Very important,Every 3 months,Does it look good on me,"Cute, affordable (but not cheap) and ethically produced clothing. This mix is impossible to find for teenagers.",Clothes that will return to something natural when I'm finished with them or from a charity shop.,Yes,Agree,TRUE,Neutral,1
2542,R_1cZA21p6un8uSnk,Yes,22-39,Female,Europe,to live in a way that doesn't hurt our own world,TRUE,Mostly true,Neutral,Very important,Every 3 months,to buy only what I need,cruelty free brands,"wearing clothes that didn't hurt people, animals and environment",Maybe/Not sure,Agree,TRUE,Neutral,0
2543,R_YWzoviBvBfmsCXf,Yes,Under 22,Female,North America,"Minimizing unnecessary and extravagant use of resources, developing ways to extend said resources so they are used in the most efficient and productive way possible, ultimately making choices conducive to what will be most beneficial to the earth and it's future.",TRUE,Mostly true,Mostly true,Very important,Every 6 months,what to buy i guess? kind of confused by this phrasing,I guess more complete looks instead of just a shirt or just a pair of pants. Not sure.,clothing i could buy and not feel guilty about,Maybe/Not sure,Disagree,TRUE,Neutral,1
2546,R_1GH3E2OikIrsz9V,Yes,22-39,Female,North America,"Striving towards leaving the smallest ""footprint,"" in every area of consumerism.",Mostly true,Mostly true,TRUE,Very important,Every 3 months,If the clothing is ethically produced ,"Ethically produced clothes in ""every day"" places!","Clothing made with as few natural resources as possible, or even recycled resources; clothing that will last a long time & not need to be replaced often.",Yes,Disagree,TRUE,Neutral,1
2547,R_1mJDXVW6sEzZUtt,Yes,22-39,Female,North America,"The ability to produce, maintain, and recycle a product in an ethical and/or responsible way.",TRUE,Mostly true,TRUE,Very important,Monthly,The ethical practices of the company and how much I am going to wear a piece.,"Good quality, fashionable, affordable pieces that are versatile and comfortable!",Clothes made from recycled fabrics that last a long time and are recycled when done with!,Yes,Strongly disagree,TRUE,Agree,1
2548,R_1KrwX1UqTzTUQvr,Yes,22-39,Female,Australia,"A practice that is sustainable long term with minimal/no harmful impact, and that does some good. ",TRUE,Mostly true,TRUE,Very important,Monthly,"Ethical, comfortable, quality, vegan","A larger variety of high quality, ethically made clothing",Environmentally ,Yes,Disagree,TRUE,Disagree,1
2549,R_29ts5EJTLXwEVFb,Yes,22-39,Female,North America,Good to the land for the next generation. Fair to the people. Products produced in a way that doesn't spoil or damage the land for future generations.  Treating people fairly in order to give them income with dignity and respect. ,TRUE,Mostly true,TRUE,Very important,Monthly, Ethical and socially responsible choice ,Socially responsible ,Ethically made,Yes,Strongly agree,TRUE,Strongly disagree,1
2550,R_1K39olYw4VK5k3c,Yes,22-39,Female,Europe,"Sustainability focuses on social equity, environmental protection, economic stability, and cultural consciousness. I think sustainable brands need to focus on all aspects. ",TRUE,TRUE,TRUE,Very important,Every 6 months,"I weigh cost against sustainability. I try to avoid consumption for consumptions sake and only shop for things when I need them. While I try to always buy ethical things, they are often (appropriately) more expensive and on a student budget, sometimes I have to make compromises. I do try to shop secondhand as well though which I believe is the most sustainable if more difficult when a specific item is needed.","I think that a lot that I want is already out there. Well-made, ethical clothing exists. I just wish it was easier to find (more physical stores, more affordable shipping). ",Clothing made to last with high-quality materials that take into account the whole supply chain.,Yes,Agree,TRUE,Agree,1
2551,R_24iPdO1FtEblnjq,Yes,22-39,Female,North America,Creating things in a way that doesn't do long term damage to people or the environment,Mostly true,Neutral,Mostly not true,Very important,Every 6 months,Whether or not I need it,"Modest, flattering, affordable clothing - without spending much time on it","Clothing that is made with materials that are renewable or recycled, made by people who are treated fairly, and within a feasible business model ",Yes,Disagree,Mostly true,Agree,1
2552,R_2dQrrjLlklyadXt,Yes,Under 22,Male,North America,Diversity in all ways. ,TRUE,TRUE,TRUE,Very important,Monthly,Whether it's black and the company is trustable ,More comfortable loose clothes ,,Maybe/Not sure,Disagree,TRUE,Neutral,1
2553,R_3hAOzJgPxfv03Fe,Yes,52-70,Female,South America,"any activity product or process that assures conservancy or adequate treatment of all ressources, human or non human",TRUE,Mostly true,TRUE,Very important,Every 3 months,how good it fits me,"excellent quality, good price, beautiful products, durable products","durable, long lasting, not mass produced, ",Maybe/Not sure,Disagree,TRUE,Neutral,0
2557,R_30lg0tCju457yjd,Yes,39-52,Female,North America,Consumption that does not deplete available resources,TRUE,TRUE,TRUE,Very important,Monthly,Quality,,"Durable quality, produced ethically",Maybe/Not sure,Disagree,TRUE,Disagree,1
2558,R_1Qz0zjfg4DY0icX,Yes,Under 22,Female,Europe,Our capacity to sustain our needs without endangering the capacity of the next generation to sustain theirs ,Mostly true,Mostly true,Neutral,Important,Monthly,How it fits,"Something that doesn't endangered one's environnment, safety or health",Something ethical,Yes,Disagree,TRUE,Agree,0
2560,R_2QJMcv9GQePTGyi,Yes,22-39,Male,North America,Carbon footprint (entire supply chain),Mostly true,Mostly true,Neutral,Important,Every 3 months,Quality (fit & durability),More durable products,Smaller carbon footprint. More durable means smaller carbon footprint because fewer logistics.  Also I like to buy products that last.  I hate shopping and spending money often to replace cheap clothes.,Yes,Disagree,Neutral,Neutral,0
2561,R_2VO7Z2yxBVP94m4,Yes,22-39,Female,North America,Minimal waste; operations which can be sustained indefinitely because they have negligible secondary impacts,TRUE,Mostly true,Mostly true,Very important,Every 6 months,Cost and quality.,Reviews on the quality of the clothing,"clothing made ethically, from the factory labor through the distribution and sales.",Maybe/Not sure,Disagree,Mostly true,Disagree,1
2562,R_1Nb8UZd61BENNJf,Yes,22-39,Female,Europe,Leading a lifestyle that takes into account the environment and people's human rights. Make that lifestyle impact on the big industries.,Mostly true,Neutral,Neutral,Important,Every 3 months,"quality and durability. I also want to buy only thing I can use on an almost-daily basis, or classic things that will last for years.","high quality, sustainable and fashionable pieces that I can actually try on before purchasing (online shopping is a problem to me)","high quality, natural fibers and materials, ethically made",Yes,Agree,Mostly true,Disagree,1
2563,R_RyIMC8wF6fjtliV,Yes,Under 22,Female,North America,Ensuring a safe and happy future; practices that can go on and on without damage to people or the earth.,TRUE,Mostly true,Mostly true,Very important,Monthly,The feel,"Pieces that are ethical, stylish, comfy, and within my budget.",,Yes,Neutral,Mostly true,Neutral,1
2564,R_1r38h6PZ8JmRDFg,Yes,22-39,Female,North America,"Producing stuff, in this case clothes, in a way that the production steps don't harm the soil, air, water, or the people involved in the making of the garment. So for example, don't pollute the environment with the growing practices of the textile, don't exploit or mislead the people (including those who sew, design, advertise, and yes, buy and wear the clothes).
I think economic sustainability is an important element, too. What I mean by that is, on the one hand, the resources that go into production should ideally be renewable, and on the other end of the equation, there should be a market of people who can afford to buy the clothes.",TRUE,Mostly true,Neutral,Important,Every 3 months,"Value -- price to quality, style, and practicality","Tailored pieces (as opposed to loose styles)
Quality fabrics that will last
Certain shades that go with my coloring","Produced in a way that doesn't devastate the environment, communities, and designed thoughtfully",Yes,Neutral,Mostly true,Neutral,1
2565,R_3Jr8CuWD7ddDRWa,Yes,39-52,Female,North America,"Not depleting natural resources or harming people/ the environment. Ideally, actually doing good.",TRUE,Mostly true,TRUE,Very important,Every 3 months,Whether it fits my lifestyle and values. I try to consider both equally.,"Shoes that are fashionable, comfortable (cushioned soles, low heals) and appropriate for a professional environment.",Clothing that is responsibly made with resources and processes that don't tax the environment and by workers who are treated with dignity and respect.,Yes,Agree,TRUE,Strongly disagree,1
2567,R_3qam5Mxg6yuXe84,Yes,39-52,Female,Europe,Those actions that do not have neither environmental nor social negative impacts in the overall population and Earth.,Not true,Not true,Mostly not true,Important,Every 3 months,,Clear labels for sustainable clothing,When manufacturing is made ethically. Both in term of workers' conditions and environmental,Maybe/Not sure,Strongly disagree,TRUE,Agree,1
2569,R_3lYOaydgOdFxH45,Yes,22-39,Female,Europe,"I would go with the Latin phrase ""primum non noccere"" (first, do not harm)",TRUE,Mostly true,TRUE,Very important,Monthly,"Design, quality and country of production",Real sustainable clothes with good design,"Made with good, lasting fabric in a country where social and labour regulation is strong. And that doesn't go out of syle",Yes,Disagree,Mostly true,Disagree,1
2570,R_3ff9Gpn8Vegdrig,Yes,Under 22,Female,Europe,,TRUE,TRUE,TRUE,Very important,Every 3 months,"To make sure that it's sustainable, ethical and that it'll make me feel good and last for a very long time",Sustainable and ethcial clothing that is budget friendly,Clothing that is enviornmentally friendly and will last for a long time,Yes,Agree,TRUE,Neutral,1
2571,R_1dnuT7tFK7DqEsQ,Yes,Under 22,Female,Europe,,Mostly true,Mostly true,TRUE,Important,Monthly,,,,Maybe/Not sure,Agree,Mostly true,Neutral,0
2572,R_2wpHxtCcCmXs4Gs,Yes,Under 22,Female,Asia,A way of understanding the climate/environment and the ability to keep it healthy. Your contribution to fighting global warming.,TRUE,TRUE,TRUE,Very important,Every 3 months,Do I need it? Do I have the money?,More shops that sell sustainable clothing. But because of the country I live in that's a bit harder sometimes.,Clothes that don't make global warming worse.,Yes,Neutral,TRUE,Disagree,1
2574,R_2lPtboIDYvP9AxX,Yes,22-39,Female,Europe,"Tne capacity not to hurt the environment beyond repair. To mantain a cycle, instead of a downward slope to the worst.",TRUE,Mostly not true,TRUE,Important,Monthly,,,,Yes,Disagree,TRUE,Neutral,1
2575,R_31vLrq1OF4tlm6Q,Yes,22-39,Female,Europe,,TRUE,Mostly true,Mostly not true,Very important,Every 3 months,spend my money consciously ,good quality chothes for a reasonable price ,,Yes,Disagree,TRUE,Neutral,1
